row_index,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,scale,rmse,status,pos_error,dir_error,time_ms
1148,0.066615478318,0.173241751769,0.168568077178,0.010903174910,-0.801839315105,0.597440234273,1.000338596758,0.000047089303,6,0.013919374531,0.104804974131,168.943900000000
1149,0.096530619499,0.171997245058,0.168238497704,0.012905076167,-0.798080920395,0.602412071185,1.000364944040,0.000047169965,6,0.013584891840,0.102177595284,195.545800000000
1150,0.126319164739,0.170174642689,0.167735205386,0.009986470317,-0.798813298960,0.601496121198,1.000425478063,0.000047227466,6,0.012911048119,0.097169209343,150.444300000000
1151,0.155579531171,0.167791070702,0.167461547730,0.008045577177,-0.799430104395,0.600705232934,1.000493702602,0.000047342102,6,0.012091052414,0.090886760604,177.040000000000
1152,-0.001281343649,0.016562501540,0.155273968296,0.006502433985,-0.810435799348,0.585791373688,0.999384493110,0.000047175737,6,0.010000571183,0.029912286727,77.561400000000
1153,0.031167651818,0.015055945922,0.156293137736,0.009221588206,-0.805459808600,0.592578652198,0.999362029628,0.000047147914,6,0.010313284550,0.026942194024,139.664600000000
1154,0.063960389033,0.014484384052,0.156369995683,0.010113343058,-0.806579059542,0.591039711864,0.999370458009,0.000047024074,6,0.010366078002,0.027012459601,91.863200000000
1155,0.096714922654,0.013806178467,0.155445712751,0.006184219674,-0.808617900630,0.588301662592,0.999412618375,0.000046872043,6,0.010146677045,0.029670679213,151.728200000000
1156,0.129107528120,0.013719892113,0.153110706251,0.013934555639,-0.803351319753,0.595342326070,0.999482211934,0.000046904471,6,0.009764498207,0.033780710663,77.765700000000
1157,0.160652542866,0.013507624637,0.149821631046,0.006318747665,-0.801832487659,0.597515468555,0.999584135863,0.000046898814,6,0.009273870943,0.039807110636,84.030700000000
1158,-0.000547602072,0.049625891103,0.154790897769,0.009068377753,-0.811425831763,0.584385047783,0.999459807426,0.000047232269,6,0.009900474640,0.041204038541,149.037100000000
1159,0.031808190440,0.048598135194,0.155643229894,0.008446775333,-0.807004275501,0.590485182972,0.999433482636,0.000047278181,6,0.010213132591,0.039075152511,142.386400000000
