row_index,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,scale,rmse,status,pos_error,dir_error,time_ms
48,0.157796429526,0.134767372336,0.184916429852,0.052084119808,-0.401000917220,0.914595817207,1.000000000000,0.000022424675,1,0.006238457404,1.874890730354,15.689300000000
49,0.157823471935,0.121700439060,0.202045178399,0.017504494260,-0.400224187433,0.916250070927,1.000000000000,0.000022456109,1,0.013632815695,0.327212783919,16.740200000000
50,0.158506077866,0.159298106171,0.209727191292,0.050516423019,-0.433066251463,0.899945394371,1.000000000000,0.000022354459,1,0.004447044492,2.869566329885,15.641400000000
51,0.146941558910,0.164777272352,0.176383265402,0.051883834676,-0.394738670827,0.917327340404,1.000000000000,0.000022261839,1,0.011357925552,1.802965975103,11.263600000000
52,0.155216564510,0.159235048285,0.149166813994,0.034907945189,-0.411480662128,0.910749746120,1.000000000000,0.000022356105,1,0.003316906557,1.188504429865,15.624400000000
53,0.124251658028,0.158595942455,0.153449966894,0.013788873932,-0.389758737031,0.920813767199,1.000000000000,0.000022420156,1,0.002511320500,0.506220429724,13.273600000000
54,0.125965511343,0.129810078727,0.148683536001,0.025038679911,-0.412306374867,0.910701113292,1.000000000000,0.000022328168,1,0.004006756681,0.926796384205,9.509000000000
55,0.099508690783,0.131644290120,0.158624087501,0.016186055731,-0.370741931774,0.928594869480,1.000000000000,0.000022697895,1,0.008223736845,1.707848382181,9.517200000000
56,0.095868605184,0.127045001164,0.121103537548,0.047029415390,-0.380666699285,0.923515618787,1.000000000000,0.000022550559,1,0.005029405057,1.860415497710,15.498600000000
57,0.117136486140,0.132372601027,0.122710814745,0.005504317994,-0.386960903264,0.922079693860,1.000000000000,0.000022275054,1,0.006915445938,1.149203021643,15.519500000000
58,0.131335751653,0.104109587516,0.117573976126,0.022950448635,-0.397337400642,0.917385560688,1.000000000000,0.000022353190,1,0.009507528344,0.305896513739,19.021800000000
59,0.146184303458,0.097808136973,0.119234068747,0.021835895958,-0.392069357820,0.919676471541,1.000000000000,0.000022492169,1,0.008021365177,0.473004106753,15.512900000000
60,0.153437823564,0.095446666436,0.095170775936,0.011689146111,-0.395995316911,0.918178126971,1.000000000000,0.000023195672,1,0.005900875692,0.516043857350,17.760400000000
61,0.148409439792,0.074567378928,0.100154338704,0.044592879059,-0.413362267382,0.909474084866,1.000000000000,0.000022616723,1,0.010441615979,1.762221656919,21.999100000000
62,0.116203898662,0.075667352515,0.087730828499,0.024751566326,-0.364917448359,0.930710812147,1.000000000000,0.000022532344,1,0.008630055944,2.291073592319,24.828200000000
63,0.117691121058,0.070259174119,0.115528016889,0.029759733285,-0.402131637319,0.915098084656,1.000000000000,0.000022512189,1,0.008005077939,0.720899549451,15.728900000000
64,0.121443927147,0.049354885437,0.132325503834,0.016006453869,-0.403110007297,0.915011538425,1.000000000000,0.000021953570,1,0.013790599498,0.269727263970,15.526700000000
65,0.112407757054,0.037351320952,0.088828823566,0.035650557209,-0.394511583681,0.918199133147,1.000000000000,0.000024640380,1,0.010753559246,1.167178468841,15.520500000000
66,0.130372189017,0.018128079620,0.089834880200,0.033580658579,-0.378920627274,0.924819710860,1.000000000000,0.000022057053,1,0.010912139302,1.730672218280,17.477700000000
67,0.130624835049,0.013439343315,0.056355933355,0.044620899117,-0.426476524912,0.903397337311,1.000000000000,0.000030775568,1,0.010335147118,2.191910131995,28.781800000000
68,0.120238915684,0.038959970072,0.057272403953,-0.018342856400,-0.380896867852,0.924435565997,1.000000000000,0.000029053746,1,0.004793848515,2.427826951466,13.389200000000
69,0.091399389651,0.037178018961,0.068909591182,0.000070483631,-0.375957213866,0.926637020831,1.000000000000,0.000036888063,1,0.009059137308,2.145706129349,15.504600000000
70,0.096800792633,0.071256516497,0.065803686630,0.004299657486,-0.418305507435,0.908296215667,1.000000000000,0.000031214726,1,0.006715665380,0.466847331872,16.484700000000
71,0.091089549320,0.103397774498,0.066792671865,0.015073216957,-0.414652893119,0.909854810593,1.000000000000,0.000027850322,1,0.005573219962,0.689861065900,15.670900000000
72,0.117816612049,0.102337505370,0.054333848306,0.007923621830,-0.376095477894,0.926547034815,0.999876483033,0.000036916554,1,0.008665813267,2.274096168935,26.450000000000
73,0.125811520184,0.129436135395,0.056862089516,0.043653827498,-0.438279332536,0.897778129616,1.000000000000,0.000025587150,1,0.006215206982,2.700574060235,14.487500000000
74,0.121321951248,0.164120664345,0.053860242021,0.000264073425,-0.411162102766,0.911562206059,1.000000000000,0.000025463675,1,0.008849568995,0.433738764733,9.534000000000
